OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,TotPerformedCycles,TotBankingCycles,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTripLBRate1,FshNDTripLBRate2,FshNDTripLBRate3,FshNDTripLBRate4,FshNDTripLBRate5,FshNDTripLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTripLB_TransRate1,FshNDTripLB_TransRate2,FshNDTripLB_TransRate3,FshNDTripLB_TransRate4,FshNDTripLB_TransRate5,FshNDTripLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,FshNDPregnancies1,FshNDPregnancies2,FshNDPregnancies3,FshNDPregnancies4,FshNDPregnancies5,FshNDPregnancies6,FshNDSnglLB_PregRate1,FshNDSnglLB_PregRate2,FshNDSnglLB_PregRate3,FshNDSnglLB_PregRate4,FshNDSnglLB_PregRate5,FshNDSnglLB_PregRate6,FshNDTripLB_PregRate1,FshNDTripLB_PregRate2,FshNDTripLB_PregRate3,FshNDTripLB_PregRate4,FshNDTripLB_PregRate5,FshNDTripLB_PregRate6,FshNDLvBirths_PregRate1,FshNDLvBirths_PregRate2,FshNDLvBirths_PregRate3,FshNDLvBirths_PregRate4,FshNDLvBirths_PregRate5,FshNDLvBirths_PregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTripLB_TransRate1,ThwNDTripLB_TransRate2,ThwNDTripLB_TransRate3,ThwNDTripLB_TransRate4,ThwNDTripLB_TransRate5,ThwNDTripLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
1,ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,100%,43%,0%,0%,0%,16%,25%,19%,28%,6%,46%,16%,4%,15%,31%,81,0,"Michael P. Steinkampf, MD",33,12,2,3,1,0,9.1,2 / 12,1 / 2,2 / 3,0 / 1,,2.2,2.2,1.0,5.0,4.0,,34.4,22.7,0 / 1,1 / 5,0 / 4,,0.0,0 / 8,,0 / 1,0 / 1,,30.3,5 / 12,0 / 2,1 / 3,0 / 1,,3.0,0 / 12,0 / 2,0 / 3,0 / 1,,42.4,5 / 12,0 / 2,1 / 3,0 / 1,,48.5,5 / 12,0 / 2,1 / 3,0 / 1,,29,10,1,1,1,0,34.5,5 / 10,0 / 1,1 / 1,0 / 1,,3.4,0 / 10,0 / 1,0 / 1,0 / 1,,48.3,5 / 10,0 / 1,1 / 1,0 / 1,,55.2,5 / 10,0 / 1,1 / 1,0 / 1,,16,5,0,1,0,0,10 / 16,5 / 5,,1 / 1,,,1 / 16,0 / 5,,0 / 1,,,14 / 16,5 / 5,,1 / 1,,,12,3,2,0,0,0,12,3,1,0,0,0,2.0,3.0,,,,,2.2,2.0,2.0,,,,26.9,1 / 6,0 / 2,,,,3 / 12,1 / 3,0 / 1,,,,0 / 12,0 / 3,0 / 1,,,,4 / 12,1 / 3,0 / 1,,,,6 / 12,1 / 3,0 / 1,,,,6,7,6,7,2.2,1.9,3 / 13,4 / 13,2 / 6,1 / 7,2 / 6,2 / 7,3 / 6,2 / 7,Alabama Fertility Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,0,AL
2,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,81%,0%,1%,3%,28%,19%,21%,21%,5%,63%,71%,4%,19%,55%,346,7,"Michael C. Allemand, MD",131,44,39,5,4,0,12.2,18.2,20.5,0 / 5,1 / 4,,2.0,1.8,2.4,3.4,3.3,,30.3,22.4,15.5,3 / 17,0 / 10,,5.3,0.0,0.0,0 / 5,0 / 3,,17.6,13.6,7.7,1 / 5,0 / 4,,0.8,0.0,0.0,0 / 5,0 / 4,,28.2,18.2,12.8,2 / 5,0 / 4,,34.4,25.0,20.5,2 / 5,0 / 4,,99,32,29,5,3,0,23.2,18.8,10.3,1 / 5,0 / 3,,1.0,0.0,0.0,0 / 5,0 / 3,,37.4,25.0,17.2,2 / 5,0 / 3,,45.5,34.4,27.6,2 / 5,0 / 3,,45,11,8,2,0,0,51.1,6 / 11,3 / 8,1 / 2,,,2.2,0 / 11,0 / 8,0 / 2,,,82.2,8 / 11,5 / 8,2 / 2,,,32,9,12,2,0,0,30,7,8,2,0,0,1.4,3.5,1.6,,,,1.8,1.7,1.8,1.0,,,24.5,4 / 12,2 / 14,0 / 2,,,36.7,2 / 7,1 / 8,0 / 2,,,0.0,0 / 7,0 / 8,0 / 2,,,40.0,3 / 7,1 / 8,0 / 2,,,43.3,4 / 7,2 / 8,0 / 2,,,26,35,23,26,1.8,2.0,36.6,15.1,21.7,19.2,43.5,19.2,43.5,38.5,ART Fertility Program of Alabama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
3,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,100%,73%,0%,0%,3%,23%,16%,34%,13%,1%,39%,8%,7%,13%,18%,97,4,"Gordon W. Bates, MD",39,14,1,5,0,0,2.6,2 / 14,0 / 1,1 / 5,,,2.0,2.4,2.0,2.5,,,45.2,26.9,1 / 2,3 / 10,,,0.0,0 / 11,0 / 1,0 / 3,,,48.7,3 / 14,1 / 1,1 / 5,,,0.0,0 / 14,0 / 1,0 / 5,,,61.5,5 / 14,1 / 1,1 / 5,,,66.7,5 / 14,1 / 1,3 / 5,,,37,11,1,4,0,0,51.4,3 / 11,1 / 1,1 / 4,,,0.0,0 / 11,0 / 1,0 / 4,,,64.9,5 / 11,1 / 1,1 / 4,,,70.3,5 / 11,1 / 1,3 / 4,,,26,5,1,3,0,0,73.1,3 / 5,1 / 1,1 / 3,,,0.0,0 / 5,0 / 1,0 / 3,,,92.3,5 / 5,1 / 1,1 / 3,,,13,5,3,0,0,0,13,5,3,0,0,0,1.4,2.5,1.0,,,,2.1,1.8,2.0,,,,25.9,2 / 9,0 / 6,,,,3 / 13,0 / 5,0 / 3,,,,1 / 13,0 / 5,0 / 3,,,,4 / 13,1 / 5,0 / 3,,,,5 / 13,1 / 5,0 / 3,,,,7,6,6,6,1.5,2.2,6 / 9,5 / 13,3 / 6,2 / 6,4 / 6,3 / 6,4 / 6,3 / 6,University of Alabama at Birmingham,Yes,No,Yes,Yes,Yes,Yes,Yes,0,AL
4,"HUNTSVILLE REPRODUCTIVE MEDICINE, PC",,HUNTSVILLE,ALABAMA,100%,85%,0%,2%,0%,31%,21%,39%,11%,6%,38%,12%,3%,32%,29%,128,1,"Andrew J. Harper, MD",60,15,18,9,1,0,3.3,1 / 15,1 / 18,1 / 9,0 / 1,,2.1,2.4,3.0,3.3,4.0,,40.9,47.1,10.4,4.3,0 / 4,,12.7,1 / 14,0 / 16,0 / 6,0 / 1,,38.3,7 / 15,2 / 18,0 / 9,0 / 1,,0.0,0 / 15,0 / 18,0 / 9,0 / 1,,53.3,10 / 15,3 / 18,0 / 9,0 / 1,,58.3,11 / 15,4 / 18,1 / 9,0 / 1,,56,14,16,7,1,0,41.1,7 / 14,2 / 16,0 / 7,0 / 1,,0.0,0 / 14,0 / 16,0 / 7,0 / 1,,57.1,10 / 14,3 / 16,0 / 7,0 / 1,,62.5,11 / 14,4 / 16,1 / 7,0 / 1,,35,11,4,1,0,0,65.7,7 / 11,2 / 4,0 / 1,,,0.0,0 / 11,0 / 4,0 / 1,,,91.4,10 / 11,3 / 4,0 / 1,,,12,4,1,1,0,0,12,4,1,1,0,0,1.7,,0.5,,,,1.9,1.0,1.0,2.0,,,13.0,0 / 4,0 / 1,0 / 2,,,3 / 12,0 / 4,0 / 1,0 / 1,,,0 / 12,0 / 4,0 / 1,0 / 1,,,3 / 12,0 / 4,0 / 1,0 / 1,,,3 / 12,1 / 4,0 / 1,1 / 1,,,5,1,5,1,1.6,1.0,3 / 8,1 / 1,1 / 5,1 / 1,1 / 5,1 / 1,2 / 5,1 / 1,"Huntsville Reproductive Medicine, PC",Yes,No,Yes,Yes,Yes,No,No,0,AL
5,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,86%,0%,4%,0%,26%,10%,20%,23%,<1%,31%,12%,0%,14%,9%,210,3,"George T. Koulianos, MD",81,31,18,13,2,0,6.2,16.1,5 / 18,2 / 13,0 / 2,,2.0,2.1,2.9,3.2,5.0,,37.5,24.1,17.1,0.0,0 / 10,,4.2,0.0,0 / 12,0 / 9,0 / 2,,27.2,12.9,2 / 18,0 / 13,0 / 2,,1.2,0.0,0 / 18,0 / 13,0 / 2,,43.2,22.6,3 / 18,0 / 13,0 / 2,,50.6,29.0,4 / 18,1 / 13,1 / 2,,76,26,12,11,2,0,28.9,15.4,2 / 12,0 / 11,0 / 2,,1.3,0.0,0 / 12,0 / 11,0 / 2,,46.1,26.9,3 / 12,0 / 11,0 / 2,,53.9,34.6,4 / 12,1 / 11,1 / 2,,41,9,4,1,1,0,53.7,4 / 9,2 / 4,0 / 1,0 / 1,,2.4,0 / 9,0 / 4,0 / 1,0 / 1,,85.4,7 / 9,3 / 4,0 / 1,0 / 1,,17,9,5,0,1,0,14,8,4,0,1,0,1.3,1.3,,,,,1.9,1.6,2.8,,1.0,,14.8,1 / 13,3 / 11,,1 / 1,,4 / 14,1 / 8,1 / 4,,1 / 1,,0 / 14,0 / 8,0 / 4,,0 / 1,,4 / 14,1 / 8,2 / 4,,1 / 1,,4 / 14,2 / 8,2 / 4,,1 / 1,,18,12,18,12,2.1,2.2,29.7,23.1,6 / 18,2 / 12,8 / 18,3 / 12,9 / 18,6 / 12,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes,0,AL
6,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,94%,0%,0%,3%,36%,57%,30%,27%,36%,46%,5%,0%,41%,46%,45,1,"Botros M. Rizk, MD",28,3,2,2,0,0,3.6,0 / 3,1 / 2,0 / 2,,,2.4,1.5,3.0,1.5,,,16.9,0 / 3,1 / 3,0 / 3,,,0.0,0 / 1,0 / 1,0 / 1,,,28.6,0 / 3,0 / 2,0 / 2,,,0.0,0 / 3,0 / 2,0 / 2,,,28.6,0 / 3,0 / 2,0 / 2,,,32.1,0 / 3,1 / 2,0 / 2,,,27,2,1,2,0,0,29.6,0 / 2,0 / 1,0 / 2,,,0.0,0 / 2,0 / 1,0 / 2,,,29.6,0 / 2,0 / 1,0 / 2,,,33.3,0 / 2,1 / 1,0 / 2,,,9,0,1,0,0,0,8 / 9,,0 / 1,,,,0 / 9,,0 / 1,,,,8 / 9,,0 / 1,,,,9,0,0,0,0,0,6,0,0,0,0,0,1.0,,,,,,3.0,,,,,,2 / 18,,,,,,2 / 6,,,,,,0 / 6,,,,,,2 / 6,,,,,,2 / 6,,,,,,0,0,0,0,,,,,,,,,,,University of South Alabama IVF and ART Program,No,No,No,No,Yes,Yes,Yes,0,AL
7,PENINSULA MEDICAL CENTER,"JOHN NELS ANDERSON, MD",SOLDOTNA,ALASKA,100%,59%,0%,0%,0%,24%,25%,19%,8%,0%,52%,19%,11%,12%,38%,85,0,"John N. Anderson, MD",34,9,12,5,1,3,0.0,0 / 9,0 / 12,0 / 5,0 / 1,0 / 3,2.7,2.6,2.8,3.0,1.0,2.5,8.0,21.7,8.0,0 / 9,0 / 1,0 / 5,0.0,0 / 9,0 / 9,0 / 3,,0 / 1,8.8,1 / 9,2 / 12,0 / 5,0 / 1,0 / 3,0.0,0 / 9,0 / 12,0 / 5,0 / 1,0 / 3,14.7,3 / 9,2 / 12,0 / 5,0 / 1,0 / 3,14.7,3 / 9,2 / 12,0 / 5,0 / 1,0 / 3,32,9,9,3,1,2,9.4,1 / 9,2 / 9,0 / 3,0 / 1,0 / 2,0.0,0 / 9,0 / 9,0 / 3,0 / 1,0 / 2,15.6,3 / 9,2 / 9,0 / 3,0 / 1,0 / 2,15.6,3 / 9,2 / 9,0 / 3,0 / 1,0 / 2,5,3,2,0,0,0,3 / 5,1 / 3,2 / 2,,,,0 / 5,0 / 3,0 / 2,,,,5 / 5,3 / 3,2 / 2,,,,13,3,2,0,0,0,13,3,2,0,0,0,1.1,3.0,1.0,,,,2.3,2.0,1.5,,,,3.3,0 / 6,0 / 3,,,,1 / 13,0 / 3,0 / 2,,,,0 / 13,0 / 3,0 / 2,,,,1 / 13,0 / 3,0 / 2,,,,3 / 13,0 / 3,0 / 2,,,,3,0,2,0,2.5,,0 / 5,,0 / 2,,0 / 2,,0 / 2,,"Peninsula Medical Center, John Nels Anderson, MD",No,No,No,No,Yes,No,No,0,AK
8,TROCHÉ FERTILITY CENTERS,,GLENDALE,ARIZONA,100%,93%,0%,2%,8%,17%,16%,26%,6%,<1%,62%,10%,2%,8%,29%,205,0,"Vladimir Troché, MD",63,36,19,12,3,0,4.8,5.6,2 / 19,3 / 12,0 / 3,,2.0,2.3,3.2,4.1,2.3,,34.8,18.7,25.5,10.8,0 / 7,,12.7,6.5,1 / 17,0 / 9,0 / 2,,23.8,19.4,6 / 19,2 / 12,0 / 3,,0.0,2.8,0 / 19,0 / 12,0 / 3,,39.7,25.0,8 / 19,3 / 12,0 / 3,,44.4,33.3,8 / 19,3 / 12,0 / 3,,57,33,17,9,3,0,26.3,21.2,6 / 17,2 / 9,0 / 3,,0.0,3.0,0 / 17,0 / 9,0 / 3,,43.9,27.3,8 / 17,3 / 9,0 / 3,,49.1,36.4,8 / 17,3 / 9,0 / 3,,28,12,8,3,0,0,53.6,7 / 12,6 / 8,2 / 3,,,0.0,1 / 12,0 / 8,0 / 3,,,89.3,9 / 12,8 / 8,3 / 3,,,24,21,7,0,1,2,22,18,7,0,1,2,1.7,2.3,1.4,,,,1.7,1.8,2.3,,1.0,1.5,26.3,25.0,3 / 16,,0 / 1,0 / 3,27.3,6 / 18,0 / 7,,0 / 1,0 / 2,0.0,0 / 18,0 / 7,,0 / 1,0 / 2,27.3,7 / 18,0 / 7,,0 / 1,0 / 2,36.4,7 / 18,3 / 7,,0 / 1,0 / 2,10,7,10,6,1.7,2.5,5 / 17,1 / 15,5 / 10,1 / 6,5 / 10,1 / 6,5 / 10,1 / 6,Troché Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
9,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,70%,0%,0%,4%,15%,19%,48%,9%,2%,58%,8%,3%,11%,41%,354,34,"Drew V. Moffitt, MD",67,25,27,14,3,2,7.5,12.0,18.5,1 / 14,0 / 3,0 / 2,2.0,2.1,2.0,2.1,2.0,4.0,20.8,13.2,14.7,8.0,0 / 2,0 / 4,8.8,2 / 16,0 / 13,0 / 10,0 / 1,0 / 1,23.9,12.0,14.8,1 / 14,0 / 3,0 / 2,0.0,0.0,0.0,0 / 14,0 / 3,0 / 2,26.9,12.0,14.8,1 / 14,0 / 3,0 / 2,32.8,20.0,22.2,3 / 14,0 / 3,0 / 2,59,18,17,12,1,1,27.1,3 / 18,4 / 17,1 / 12,0 / 1,0 / 1,0.0,0 / 18,0 / 17,0 / 12,0 / 1,0 / 1,30.5,3 / 18,4 / 17,1 / 12,0 / 1,0 / 1,37.3,5 / 18,6 / 17,3 / 12,0 / 1,0 / 1,22,5,6,3,0,0,72.7,3 / 5,4 / 6,1 / 3,,,0.0,0 / 5,0 / 6,0 / 3,,,81.8,3 / 5,4 / 6,1 / 3,,,77,27,25,8,2,1,75,23,21,8,2,0,1.7,2.6,3.5,1.0,1.0,,1.6,1.7,1.9,1.9,1.0,,24.0,23.7,35.0,0 / 15,0 / 2,,18.7,13.0,19.0,0 / 8,0 / 2,,0.0,0.0,0.0,0 / 8,0 / 2,,25.3,26.1,38.1,0 / 8,0 / 2,,36.0,30.4,42.9,0 / 8,0 / 2,,13,29,12,22,1.7,1.6,55.0,19.4,2 / 12,9.1,6 / 12,18.2,7 / 12,27.3,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,0,AZ
10,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,57%,0%,0%,3%,22%,8%,31%,17%,9%,48%,9%,6%,9%,28%,85,0,"Sujatha Gunnala, MD",46,13,3,4,2,0,4.3,1 / 13,1 / 3,0 / 4,0 / 2,,1.7,2.0,2.5,3.0,3.0,,27.3,1 / 16,2 / 5,0 / 9,0 / 6,,15.6,1 / 8,0 / 2,0 / 3,0 / 2,,21.7,1 / 13,1 / 3,0 / 4,0 / 2,,0.0,0 / 13,0 / 3,0 / 4,0 / 2,,28.3,1 / 13,1 / 3,0 / 4,0 / 2,,32.6,2 / 13,2 / 3,0 / 4,0 / 2,,39,8,2,3,2,0,25.6,1 / 8,1 / 2,0 / 3,0 / 2,,0.0,0 / 8,0 / 2,0 / 3,0 / 2,,33.3,1 / 8,1 / 2,0 / 3,0 / 2,,38.5,2 / 8,2 / 2,0 / 3,0 / 2,,15,2,2,0,0,0,10 / 15,1 / 2,1 / 2,,,,0 / 15,0 / 2,0 / 2,,,,13 / 15,1 / 2,1 / 2,,,,7,2,0,1,0,0,7,2,0,1,0,0,1.2,2.0,,1.0,,,1.9,2.0,,2.0,,,4 / 13,1 / 4,,0 / 2,,,2 / 7,1 / 2,,0 / 1,,,0 / 7,0 / 2,,0 / 1,,,3 / 7,1 / 2,,0 / 1,,,3 / 7,1 / 2,,0 / 1,,,3,4,3,4,1.7,2.0,1 / 5,5 / 8,1 / 3,2 / 4,1 / 3,3 / 4,1 / 3,3 / 4,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
