OrderID,Clinic_Name,PrevClinName2,City,State,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,No_of_IVF_cycles_in_2012,TotBankingCycles,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTripLBRate1,FshNDTripLBRate2,FshNDTripLBRate3,FshNDTripLBRate4,FshNDTripLBRate5,FshNDTripLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTripLB_TransRate1,FshNDTripLB_TransRate2,FshNDTripLB_TransRate3,FshNDTripLB_TransRate4,FshNDTripLB_TransRate5,FshNDTripLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,FshNDPregnancies1,FshNDPregnancies2,FshNDPregnancies3,FshNDPregnancies4,FshNDPregnancies5,FshNDPregnancies6,FshNDSnglLB_PregRate1,FshNDSnglLB_PregRate2,FshNDSnglLB_PregRate3,FshNDSnglLB_PregRate4,FshNDSnglLB_PregRate5,FshNDSnglLB_PregRate6,FshNDTripLB_PregRate1,FshNDTripLB_PregRate2,FshNDTripLB_PregRate3,FshNDTripLB_PregRate4,FshNDTripLB_PregRate5,FshNDTripLB_PregRate6,FshNDLvBirths_PregRate1,FshNDLvBirths_PregRate2,FshNDLvBirths_PregRate3,FshNDLvBirths_PregRate4,FshNDLvBirths_PregRate5,FshNDLvBirths_PregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTripLB_TransRate1,ThwNDTripLB_TransRate2,ThwNDTripLB_TransRate3,ThwNDTripLB_TransRate4,ThwNDTripLB_TransRate5,ThwNDTripLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
1,ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,100%,43%,0%,0%,0%,16%,25%,19%,28%,6%,46%,16%,4%,15%,31%,81,0,"Michael P. Steinkampf, MD",33,12,2,3,1,0,9.1,12-Feb,2-Jan,3-Feb,0 / 1,,2.2,2.2,1,5,4,,34.4,22.7,0 / 1,5-Jan,0 / 4,,0,0 / 8,,0 / 1,0 / 1,,30.3,12-May,0 / 2,3-Jan,0 / 1,,3,0 / 12,0 / 2,0 / 3,0 / 1,,42.4,12-May,0 / 2,3-Jan,0 / 1,,48.5,12-May,0 / 2,3-Jan,0 / 1,,29,10,1,1,1,0,34.5,10-May,0 / 1,1-Jan,0 / 1,,3.4,0 / 10,0 / 1,0 / 1,0 / 1,,48.3,10-May,0 / 1,1-Jan,0 / 1,,55.2,10-May,0 / 1,1-Jan,0 / 1,,16,5,0,1,0,0,16-Oct,5-May,,1-Jan,,,16-Jan,0 / 5,,0 / 1,,,14 / 16,5-May,,1-Jan,,,12,3,2,0,0,0,12,3,1,0,0,0,2,3,,,,,2.2,2,2,,,,26.9,6-Jan,0 / 2,,,,12-Mar,3-Jan,0 / 1,,,,0 / 12,0 / 3,0 / 1,,,,12-Apr,3-Jan,0 / 1,,,,12-Jun,3-Jan,0 / 1,,,,6,7,6,7,2.2,1.9,13-Mar,13-Apr,6-Feb,7-Jan,6-Feb,7-Feb,6-Mar,7-Feb,Alabama Fertility Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,0,AL
2,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,81%,0%,1%,3%,28%,19%,21%,21%,5%,63%,71%,4%,19%,55%,346,7,"Michael C. Allemand, MD",131,44,39,5,4,0,12.2,18.2,20.5,0 / 5,4-Jan,,2,1.8,2.4,3.4,3.3,,30.3,22.4,15.5,17-Mar,0 / 10,,5.3,0,0,0 / 5,0 / 3,,17.6,13.6,7.7,5-Jan,0 / 4,,0.8,0,0,0 / 5,0 / 4,,28.2,18.2,12.8,5-Feb,0 / 4,,34.4,25,20.5,5-Feb,0 / 4,,99,32,29,5,3,0,23.2,18.8,10.3,5-Jan,0 / 3,,1,0,0,0 / 5,0 / 3,,37.4,25,17.2,5-Feb,0 / 3,,45.5,34.4,27.6,5-Feb,0 / 3,,45,11,8,2,0,0,51.1,11-Jun,8-Mar,2-Jan,,,2.2,0 / 11,0 / 8,0 / 2,,,82.2,11-Aug,8-May,2-Feb,,,32,9,12,2,0,0,30,7,8,2,0,0,1.4,3.5,1.6,,,,1.8,1.7,1.8,1,,,24.5,12-Apr,14-Feb,0 / 2,,,36.7,7-Feb,8-Jan,0 / 2,,,0,0 / 7,0 / 8,0 / 2,,,40,7-Mar,8-Jan,0 / 2,,,43.3,7-Apr,8-Feb,0 / 2,,,26,35,23,26,1.8,2,36.6,15.1,21.7,19.2,43.5,19.2,43.5,38.5,ART Fertility Program of Alabama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
3,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,100%,73%,0%,0%,3%,23%,16%,34%,13%,1%,39%,8%,7%,13%,18%,97,4,"Gordon W. Bates, MD",39,14,1,5,0,0,2.6,14-Feb,0 / 1,5-Jan,,,2,2.4,2,2.5,,,45.2,26.9,2-Jan,10-Mar,,,0,0 / 11,0 / 1,0 / 3,,,48.7,14-Mar,1-Jan,5-Jan,,,0,0 / 14,0 / 1,0 / 5,,,61.5,14-May,1-Jan,5-Jan,,,66.7,14-May,1-Jan,5-Mar,,,37,11,1,4,0,0,51.4,11-Mar,1-Jan,4-Jan,,,0,0 / 11,0 / 1,0 / 4,,,64.9,11-May,1-Jan,4-Jan,,,70.3,11-May,1-Jan,4-Mar,,,26,5,1,3,0,0,73.1,5-Mar,1-Jan,3-Jan,,,0,0 / 5,0 / 1,0 / 3,,,92.3,5-May,1-Jan,3-Jan,,,13,5,3,0,0,0,13,5,3,0,0,0,1.4,2.5,1,,,,2.1,1.8,2,,,,25.9,9-Feb,0 / 6,,,,13-Mar,0 / 5,0 / 3,,,,13-Jan,0 / 5,0 / 3,,,,13-Apr,5-Jan,0 / 3,,,,13-May,5-Jan,0 / 3,,,,7,6,6,6,1.5,2.2,9-Jun,13-May,6-Mar,6-Feb,6-Apr,6-Mar,6-Apr,6-Mar,University of Alabama at Birmingham,Yes,No,Yes,Yes,Yes,Yes,Yes,0,AL
4,"HUNTSVILLE REPRODUCTIVE MEDICINE, PC",,HUNTSVILLE,ALABAMA,100%,85%,0%,2%,0%,31%,21%,39%,11%,6%,38%,12%,3%,32%,29%,128,1,"Andrew J. Harper, MD",60,15,18,9,1,0,3.3,15-Jan,18-Jan,9-Jan,0 / 1,,2.1,2.4,3,3.3,4,,40.9,47.1,10.4,4.3,0 / 4,,12.7,14-Jan,0 / 16,0 / 6,0 / 1,,38.3,15-Jul,18-Feb,0 / 9,0 / 1,,0,0 / 15,0 / 18,0 / 9,0 / 1,,53.3,15-Oct,18-Mar,0 / 9,0 / 1,,58.3,15-Nov,18-Apr,9-Jan,0 / 1,,56,14,16,7,1,0,41.1,14-Jul,16-Feb,0 / 7,0 / 1,,0,0 / 14,0 / 16,0 / 7,0 / 1,,57.1,14-Oct,16-Mar,0 / 7,0 / 1,,62.5,14-Nov,16-Apr,7-Jan,0 / 1,,35,11,4,1,0,0,65.7,11-Jul,4-Feb,0 / 1,,,0,0 / 11,0 / 4,0 / 1,,,91.4,11-Oct,4-Mar,0 / 1,,,12,4,1,1,0,0,12,4,1,1,0,0,1.7,,0.5,,,,1.9,1,1,2,,,13,0 / 4,0 / 1,0 / 2,,,12-Mar,0 / 4,0 / 1,0 / 1,,,0 / 12,0 / 4,0 / 1,0 / 1,,,12-Mar,0 / 4,0 / 1,0 / 1,,,12-Mar,4-Jan,0 / 1,1-Jan,,,5,1,5,1,1.6,1,8-Mar,1-Jan,5-Jan,1-Jan,5-Jan,1-Jan,5-Feb,1-Jan,"Huntsville Reproductive Medicine, PC",Yes,No,Yes,Yes,Yes,No,No,0,AL
5,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,86%,0%,4%,0%,26%,10%,20%,23%,<1%,31%,12%,0%,14%,9%,210,3,"George T. Koulianos, MD",81,31,18,13,2,0,6.2,16.1,18-May,13-Feb,0 / 2,,2,2.1,2.9,3.2,5,,37.5,24.1,17.1,0,0 / 10,,4.2,0,0 / 12,0 / 9,0 / 2,,27.2,12.9,18-Feb,0 / 13,0 / 2,,1.2,0,0 / 18,0 / 13,0 / 2,,43.2,22.6,18-Mar,0 / 13,0 / 2,,50.6,29,18-Apr,13-Jan,2-Jan,,76,26,12,11,2,0,28.9,15.4,12-Feb,0 / 11,0 / 2,,1.3,0,0 / 12,0 / 11,0 / 2,,46.1,26.9,12-Mar,0 / 11,0 / 2,,53.9,34.6,12-Apr,11-Jan,2-Jan,,41,9,4,1,1,0,53.7,9-Apr,4-Feb,0 / 1,0 / 1,,2.4,0 / 9,0 / 4,0 / 1,0 / 1,,85.4,9-Jul,4-Mar,0 / 1,0 / 1,,17,9,5,0,1,0,14,8,4,0,1,0,1.3,1.3,,,,,1.9,1.6,2.8,,1,,14.8,13-Jan,11-Mar,,1-Jan,,14-Apr,8-Jan,4-Jan,,1-Jan,,0 / 14,0 / 8,0 / 4,,0 / 1,,14-Apr,8-Jan,4-Feb,,1-Jan,,14-Apr,8-Feb,4-Feb,,1-Jan,,18,12,18,12,2.1,2.2,29.7,23.1,18-Jun,12-Feb,18-Aug,12-Mar,18-Sep,12-Jun,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes,0,AL
6,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,94%,0%,0%,3%,36%,57%,30%,27%,36%,46%,5%,0%,41%,46%,45,1,"Botros M. Rizk, MD",28,3,2,2,0,0,3.6,0 / 3,2-Jan,0 / 2,,,2.4,1.5,3,1.5,,,16.9,0 / 3,3-Jan,0 / 3,,,0,0 / 1,0 / 1,0 / 1,,,28.6,0 / 3,0 / 2,0 / 2,,,0,0 / 3,0 / 2,0 / 2,,,28.6,0 / 3,0 / 2,0 / 2,,,32.1,0 / 3,2-Jan,0 / 2,,,27,2,1,2,0,0,29.6,0 / 2,0 / 1,0 / 2,,,0,0 / 2,0 / 1,0 / 2,,,29.6,0 / 2,0 / 1,0 / 2,,,33.3,0 / 2,1-Jan,0 / 2,,,9,0,1,0,0,0,9-Aug,,0 / 1,,,,0 / 9,,0 / 1,,,,9-Aug,,0 / 1,,,,9,0,0,0,0,0,6,0,0,0,0,0,1,,,,,,3,,,,,,18-Feb,,,,,,6-Feb,,,,,,0 / 6,,,,,,6-Feb,,,,,,6-Feb,,,,,,0,0,0,0,,,,,,,,,,,University of South Alabama IVF and ART Program,No,No,No,No,Yes,Yes,Yes,0,AL
7,PENINSULA MEDICAL CENTER,"JOHN NELS ANDERSON, MD",SOLDOTNA,ALASKA,100%,59%,0%,0%,0%,24%,25%,19%,8%,0%,52%,19%,11%,12%,38%,85,0,"John N. Anderson, MD",34,9,12,5,1,3,0,0 / 9,0 / 12,0 / 5,0 / 1,0 / 3,2.7,2.6,2.8,3,1,2.5,8,21.7,8,0 / 9,0 / 1,0 / 5,0,0 / 9,0 / 9,0 / 3,,0 / 1,8.8,9-Jan,12-Feb,0 / 5,0 / 1,0 / 3,0,0 / 9,0 / 12,0 / 5,0 / 1,0 / 3,14.7,9-Mar,12-Feb,0 / 5,0 / 1,0 / 3,14.7,9-Mar,12-Feb,0 / 5,0 / 1,0 / 3,32,9,9,3,1,2,9.4,9-Jan,9-Feb,0 / 3,0 / 1,0 / 2,0,0 / 9,0 / 9,0 / 3,0 / 1,0 / 2,15.6,9-Mar,9-Feb,0 / 3,0 / 1,0 / 2,15.6,9-Mar,9-Feb,0 / 3,0 / 1,0 / 2,5,3,2,0,0,0,5-Mar,3-Jan,2-Feb,,,,0 / 5,0 / 3,0 / 2,,,,5-May,3-Mar,2-Feb,,,,13,3,2,0,0,0,13,3,2,0,0,0,1.1,3,1,,,,2.3,2,1.5,,,,3.3,0 / 6,0 / 3,,,,13-Jan,0 / 3,0 / 2,,,,0 / 13,0 / 3,0 / 2,,,,13-Jan,0 / 3,0 / 2,,,,13-Mar,0 / 3,0 / 2,,,,3,0,2,0,2.5,,0 / 5,,0 / 2,,0 / 2,,0 / 2,,"Peninsula Medical Center, John Nels Anderson, MD",No,No,No,No,Yes,No,No,0,AK
8,TROCHÉ FERTILITY CENTERS,,GLENDALE,ARIZONA,100%,93%,0%,2%,8%,17%,16%,26%,6%,<1%,62%,10%,2%,8%,29%,205,0,"Vladimir Troché, MD",63,36,19,12,3,0,4.8,5.6,19-Feb,12-Mar,0 / 3,,2,2.3,3.2,4.1,2.3,,34.8,18.7,25.5,10.8,0 / 7,,12.7,6.5,17-Jan,0 / 9,0 / 2,,23.8,19.4,19-Jun,12-Feb,0 / 3,,0,2.8,0 / 19,0 / 12,0 / 3,,39.7,25,19-Aug,12-Mar,0 / 3,,44.4,33.3,19-Aug,12-Mar,0 / 3,,57,33,17,9,3,0,26.3,21.2,17-Jun,9-Feb,0 / 3,,0,3,0 / 17,0 / 9,0 / 3,,43.9,27.3,17-Aug,9-Mar,0 / 3,,49.1,36.4,17-Aug,9-Mar,0 / 3,,28,12,8,3,0,0,53.6,12-Jul,8-Jun,3-Feb,,,0,12-Jan,0 / 8,0 / 3,,,89.3,12-Sep,8-Aug,3-Mar,,,24,21,7,0,1,2,22,18,7,0,1,2,1.7,2.3,1.4,,,,1.7,1.8,2.3,,1,1.5,26.3,25,16-Mar,,0 / 1,0 / 3,27.3,18-Jun,0 / 7,,0 / 1,0 / 2,0,0 / 18,0 / 7,,0 / 1,0 / 2,27.3,18-Jul,0 / 7,,0 / 1,0 / 2,36.4,18-Jul,7-Mar,,0 / 1,0 / 2,10,7,10,6,1.7,2.5,17-May,15-Jan,10-May,6-Jan,10-May,6-Jan,10-May,6-Jan,Troché Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
9,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,70%,0%,0%,4%,15%,19%,48%,9%,2%,58%,8%,3%,11%,41%,354,34,"Drew V. Moffitt, MD",67,25,27,14,3,2,7.5,12,18.5,14-Jan,0 / 3,0 / 2,2,2.1,2,2.1,2,4,20.8,13.2,14.7,8,0 / 2,0 / 4,8.8,16-Feb,0 / 13,0 / 10,0 / 1,0 / 1,23.9,12,14.8,14-Jan,0 / 3,0 / 2,0,0,0,0 / 14,0 / 3,0 / 2,26.9,12,14.8,14-Jan,0 / 3,0 / 2,32.8,20,22.2,14-Mar,0 / 3,0 / 2,59,18,17,12,1,1,27.1,18-Mar,17-Apr,12-Jan,0 / 1,0 / 1,0,0 / 18,0 / 17,0 / 12,0 / 1,0 / 1,30.5,18-Mar,17-Apr,12-Jan,0 / 1,0 / 1,37.3,18-May,17-Jun,12-Mar,0 / 1,0 / 1,22,5,6,3,0,0,72.7,5-Mar,6-Apr,3-Jan,,,0,0 / 5,0 / 6,0 / 3,,,81.8,5-Mar,6-Apr,3-Jan,,,77,27,25,8,2,1,75,23,21,8,2,0,1.7,2.6,3.5,1,1,,1.6,1.7,1.9,1.9,1,,24,23.7,35,0 / 15,0 / 2,,18.7,13,19,0 / 8,0 / 2,,0,0,0,0 / 8,0 / 2,,25.3,26.1,38.1,0 / 8,0 / 2,,36,30.4,42.9,0 / 8,0 / 2,,13,29,12,22,1.7,1.6,55,19.4,12-Feb,9.1,12-Jun,18.2,12-Jul,27.3,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,0,AZ
10,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,57%,0%,0%,3%,22%,8%,31%,17%,9%,48%,9%,6%,9%,28%,85,0,"Sujatha Gunnala, MD",46,13,3,4,2,0,4.3,13-Jan,3-Jan,0 / 4,0 / 2,,1.7,2,2.5,3,3,,27.3,16-Jan,5-Feb,0 / 9,0 / 6,,15.6,8-Jan,0 / 2,0 / 3,0 / 2,,21.7,13-Jan,3-Jan,0 / 4,0 / 2,,0,0 / 13,0 / 3,0 / 4,0 / 2,,28.3,13-Jan,3-Jan,0 / 4,0 / 2,,32.6,13-Feb,3-Feb,0 / 4,0 / 2,,39,8,2,3,2,0,25.6,8-Jan,2-Jan,0 / 3,0 / 2,,0,0 / 8,0 / 2,0 / 3,0 / 2,,33.3,8-Jan,2-Jan,0 / 3,0 / 2,,38.5,8-Feb,2-Feb,0 / 3,0 / 2,,15,2,2,0,0,0,15-Oct,2-Jan,2-Jan,,,,0 / 15,0 / 2,0 / 2,,,,13 / 15,2-Jan,2-Jan,,,,7,2,0,1,0,0,7,2,0,1,0,0,1.2,2,,1,,,1.9,2,,2,,,13-Apr,4-Jan,,0 / 2,,,7-Feb,2-Jan,,0 / 1,,,0 / 7,0 / 2,,0 / 1,,,7-Mar,2-Jan,,0 / 1,,,7-Mar,2-Jan,,0 / 1,,,3,4,3,4,1.7,2,5-Jan,8-May,3-Jan,4-Feb,3-Jan,4-Mar,3-Jan,4-Mar,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
